question,ground_truth,expected_chunk_id,url,source_title,error,answer,retrieved_chunk_ids,num_contexts,hit,recall_at_k,faithfulness,answer_relevancy,context_precision,context_recall
Why does a vendor's request to attribute consideration between taxable and exempt supplies under section 10(22) not qualify as a VAT ruling or decision?,The request does not qualify as an application for either a VAT ruling nor a decision because there is no discretion afforded to the Commissioner as to how to determine the different parts of the consideration as contemplated in section 10(22).,vat_404_guide_chunk_434,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided (Example 46), a vendor's request to attribute consideration between taxable and exempt supplies under section 10(22) does not qualify as a VAT ruling or decision because **there is no discretion afforded to the Commissioner as to how to determine the different parts of the consideration as contemplated in section 10(22)**.

The context states: ""The request does not qualify as an application for either a VAT ruling nor a decision. This is on the basis that there is no discretion afforded to the Commissioner as to how to determine the different parts of the consideration as contemplated in section 10(22).""

In other words, since the law provides guidance on how to attribute the consideration but does not allow for discretionary interpretation by the Commissioner, the matter cannot be dealt with as either a decision or a VAT ruling.","[""doc_5_chunk_243"", ""doc_5_chunk_125"", ""doc_5_chunk_233"", ""doc_5_chunk_124"", ""doc_5_chunk_28""]",5,False,0.0,,,,
When did the changes to the wording of section 72 apply to new applications?,The changes to the wording of section 72 only apply to new applications made on or after 21 July 2019.,vat_404_guide_chunk_440,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, the changes to the wording of section 72 apply to new applications made on or after **21 July 2019**.","[""doc_5_chunk_246"", ""doc_5_chunk_245"", ""doc_5_chunk_12"", ""doc_5_chunk_11"", ""doc_5_chunk_39""]",5,False,0.0,,,,
What is an example of a situation where a recipient may be permitted to issue tax invoices instead of the supplier?,"An example is where a farmer (the supplier) takes produce to a co-operative which will only be sold at a later stage, once the quality and quantity of the produce has been determined. Since the price depends on factors outside the farmer's control, the farmer is not in a position to issue an invoice when the produce is delivered for sale. In such cases, SARS may permit the co-operative (recipient) to issue the tax invoices instead of the supplier.",vat_404_guide_chunk_370,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"Based on the context provided, the document mentions that recipients may be permitted to issue tax invoices (self-invoicing) under specific circumstances, but it does not provide a concrete example of a situation where this would be allowed.

The context states that ""approval for self-invoicing procedures will not be granted if the purpose is merely to facilitate the obtaining of a tax invoice, credit or debit note by the recipient. Approval will only be granted in the case of those industries and transactions where an effective self-invoicing system has traditionally been followed in the past.""

However, the specific industries or transactions where self-invoicing has traditionally been followed are not detailed in the provided context. To get a specific example, you would need to refer to additional guidance or ruling applications from the Commissioner.","[""doc_5_chunk_209"", ""doc_5_chunk_202"", ""doc_5_chunk_210"", ""doc_5_chunk_203"", ""doc_5_chunk_259""]",5,False,0.0,,,,
"Under the invoice basis method, must vendors account for VAT on supplies even if payment has not been received?","Yes, vendors must account for the full amount of output tax on any supplies made in the tax period, even where payment has not yet been received from the recipient. Similarly, the full amount of input tax may be deducted on supplies received in the tax period, even where payment has not yet been made.",vat_404_guide_chunk_111,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"Yes. Under the invoice basis method, vendors must account for the full amount of output tax on supplies made in the tax period, even where payment has not yet been received from the recipient.

According to the context: ""Vendors must therefore account for the full amount of output tax on any supplies made in the tax period, even where payment has not yet been received from the recipient.""

This is one of the disadvantages of the invoice basis listed in the guide, as it can ""lead to cash flow difficulties when vendor allows extended payment terms.""","[""doc_5_chunk_68"", ""doc_5_chunk_69"", ""doc_5_chunk_118"", ""doc_5_chunk_202"", ""doc_5_chunk_210""]",5,False,0.0,,,,
"What is the output tax that the paper manufacturer must declare for selling 2 rolls of uncoated print paper sheets for R92,00?","The paper manufacturer must declare output tax of R12,00 (R92,00 × 15 / 115) for the 2 rolls of paper sold.",vat_404_guide_chunk_44,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to Example 1 in the provided context, the paper manufacturer must declare output tax of **R12,00** for selling the 2 rolls of uncoated print paper sheets for R92,00 (including VAT).

This is calculated as: R92,00 × 15/115 = R12,00","[""doc_5_chunk_27"", ""doc_5_chunk_204"", ""doc_5_chunk_157"", ""doc_5_chunk_203"", ""doc_5_chunk_75""]",5,False,0.0,,,,
What is the threshold for the decrease in taxable use of capital goods that triggers an adjustment requirement?,The decrease in the extent of the taxable use of the capital goods or services must exceed 10% to trigger an adjustment requirement.,vat_404_guide_chunk_267,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, an adjustment to output tax is required where there is a **decrease of more than 10% in the extent of taxable use or application by the vendor of capital goods or services which have an adjusted cost of R40 000 or more**.

So the threshold is a **decrease exceeding 10%**, and this applies only to capital goods or services with an adjusted cost of R40 000 or more.","[""doc_5_chunk_146"", ""doc_5_chunk_145"", ""doc_5_chunk_156"", ""doc_5_chunk_147"", ""doc_5_chunk_180""]",5,False,0.0,,,,
What happens to the requirement for the VAT number of the recipient to be reflected on a tax invoice when a person's VAT registration is backdated?,"When a person's VAT registration is backdated and certain supplies were received before the registration date, the requirement for the VAT number of the recipient to be reflected on the tax invoice will not apply. As a result, tax invoices received for supplies made to that vendor before the date of registration may still be considered as valid proof for input tax documentary requirements.",vat_404_guide_chunk_370,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"According to the context provided, when a person's VAT registration is backdated and certain supplies were received before the registration date, **the requirement for the VAT number of the recipient to be reflected on the tax invoice will not apply**.

As a result, tax invoices received for any supplies made to that vendor before the date of registration may still be considered as valid proof for input tax documentary requirements.","[""doc_5_chunk_202"", ""doc_5_chunk_208"", ""doc_5_chunk_203"", ""doc_5_chunk_161"", ""doc_5_chunk_168""]",5,False,0.0,,,,
What is included in a notice of assessment issued by SARS to a taxpayer?,"A notice of assessment includes the applicable tax liability or tax refund, along with all of the details prescribed under section 96 of the TA Act.",vat_404_guide_chunk_393,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"The context provided does not contain enough information to answer what is included in a notice of assessment issued by SARS to a taxpayer.

The context only defines ""assessment"" as ""the determination of the amount of a tax liability or refund"" through an assessment by SARS (administrative assessment), but it does not specify what elements or information are actually included in a notice of assessment document.","[""doc_8_chunk_16"", ""doc_8_chunk_15"", ""doc_3_chunk_16"", ""doc_3_chunk_15"", ""doc_1_chunk_16""]",5,False,0.0,,,,
How is notional input tax calculated on second-hand goods?,"The notional input tax is calculated by multiplying the tax fraction by the lesser of the consideration paid or the OMV. Where the OMV is less than the consideration paid, the OMV will be used to calculate the notional input tax deduction.",vat_404_guide_chunk_209,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"# Notional Input Tax Calculation on Second-Hand Goods

Based on the provided context, notional input tax on second-hand goods is calculated using the following formula:

**Notional Input Tax = Acquisition Price × VAT Rate / (100 + VAT Rate)**

## Example from the Context:

In Example 32, an art gallery purchases a second-hand painting for R11,500 from a non-vendor:

- Notional input tax deduction = R11,500 × 15/115 = **R1,500**

## Key Points:

1. **Notional input tax is deducted** when second-hand goods are acquired from a **non-registered vendor** (non-vendor)

2. **The calculation uses the tax fraction** (15/115 for the standard VAT rate of 15%)

3. When these second-hand goods are subsequently exported, **VAT is levied equal to the notional input tax originally deducted**

4. In contrast, if second-hand goods are acquired from a **registered vendor** under a taxable supply with a proper tax invoice, a **normal input tax deduction** applies instead of a notional one, and the subsequent export may qualify for zero-rating.","[""doc_5_chunk_194"", ""doc_5_chunk_195"", ""doc_5_chunk_129"", ""doc_5_chunk_157"", ""doc_5_chunk_122""]",5,False,0.0,,,,
What is Public Notice 787 and what does it regulate?,"Public Notice 787: Electronic form of record keeping under section 30(1)(b) of the Tax Administration Act, 2011 regulates how records for tax purposes are to be retained in electronic form. It was published on 1 October 2012 in GG 35733 with immediate effect.",vat_404_guide_chunk_388,https://www.sars.gov.za/wp-content/uploads/Ops/Guides/Legal-Pub-Guide-VAT404-VAT-404-Guide-for-Vendors.pdf,VAT 404 Guide,,"The context provided does not contain information about Public Notice 787. The context only mentions Public Notice 299 and Public Notice 748, but does not reference Public Notice 787 or what it regulates.","[""doc_5_chunk_246"", ""doc_5_chunk_245"", ""doc_5_chunk_22"", ""doc_5_chunk_233"", ""doc_5_chunk_237""]",5,False,0.0,,,,
